사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-21,2호선,50,신촌,45,5,5155,2658,12632,16932,32080,34803,47287,79059,31859,83949,30307,51902,36286,48479,44464,51072,45463,59148,47783,52561,54454,48663,66062,51086,83434,66157,82902,94670,55226,59135,56671,30481,68028,26934,67720,30707,11498,13593,2,34,0,0,0,0,0,0
Jun-21,2호선,51,이대,42,0,2869,937,7826,8410,22937,11659,30568,32022,17650,30159,12793,20037,14108,17256,18160,19314,19600,22706,18499,18742,20924,17942,26625,18921,34455,23118,30259,34733,18485,25103,15316,14626,16280,15711,12816,18471,3166,8622,0,27,0,0,0,0,0,0
Jun-21,2호선,52,아현,13,0,4278,1123,10960,8038,27259,13636,37421,23524,21384,11943,15030,9646,14067,9337,14194,10531,14108,11702,12805,12345,14661,13774,24890,15539,18968,20896,19595,31469,11414,23769,8007,14525,7237,14830,4964,16615,1332,6768,4,23,1,1,0,0,0,0
Jun-21,2호선,53,충정로(경기대입구),40,1,2996,988,6449,5980,15546,20718,21518,61118,13443,27185,9697,12084,10390,9914,10752,10022,11911,11565,12254,10218,13381,10325,16491,11216,24827,14174,49566,20957,14290,14274,9212,8829,9205,9321,8085,11133,1326,4264,0,81,0,0,0,0,0,0
Jun-21,2호선,54,용답,13,1,2624,225,3290,862,7516,1738,12261,3315,6720,2281,4215,2452,3594,2592,3847,2951,4176,3147,3634,3078,3695,4231,4032,5310,4260,6139,3667,9809,2160,6833,1422,4289,1172,5502,1156,5940,339,2488,1,1,0,0,2,2,0,0
Jun-21,2호선,55,신답,4,1,1052,100,1755,487,6550,890,9858,1699,4205,1080,2180,1003,1950,1173,1808,1344,1767,1436,1594,1647,1488,2382,1682,3189,1769,4230,2233,9703,976,6552,589,3222,546,3377,534,3394,87,1709,0,9,0,0,0,0,0,0
Jun-21,2호선,56,신설동,35,0,1067,383,1310,2273,3601,5566,6334,13082,4054,8209,3804,5939,4649,6264,5669,6076,6277,6188,6827,5461,7516,5089,7728,4245,10802,4796,10839,5544,4287,3970,2653,2287,2313,2061,1738,2598,397,1208,0,239,0,1,0,0,0,0
Jun-21,2호선,57,도림천,0,0,263,320,1272,833,3182,4678,3286,6326,2138,2308,1836,1521,1620,1305,2489,1941,1670,1452,2297,1815,2844,1503,3086,1761,2962,2276,4158,2852,1918,2584,950,1506,879,1366,489,1445,151,669,3,50,0,0,0,0,0,0
Jun-21,2호선,58,양천구청,11,0,4885,828,11068,2304,32319,5670,29838,9747,15185,4846,10062,4689,8736,4717,9050,6295,9136,7085,7809,7472,7143,9104,8069,11370,8561,17023,8840,27562,3625,24901,2539,12956,2096,12620,2234,13535,625,7028,3,505,0,0,0,0,0,0
Jun-21,2호선,59,신정네거리,39,0,8271,942,16971,3727,49959,5256,44209,11829,23093,7607,15248,7309,13415,8764,13330,9404,12394,10937,10835,11262,10818,14386,12326,18315,12545,26563,11512,45804,6827,35779,5052,19006,4296,16793,4010,19204,816,9131,4,477,1,0,0,0,0,0
